property_id,roof_data_date,street,city,state,zip,full_address,visual_score,detection_types,detections,image_ref,all_sales,relevant_sale_date,relevant_sale_amount
131302,2019-01-04T05:23:39.921-08:00,5 W MAIN ST,MADELIA,MN,56062,"5 W MAIN ST, MADELIA, MN 56062",99.71570377673383,"{overhang,shape,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{None,Flat,""Metal Panel"",None,Undamaged,None,""No Swimming Pool"",None,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131302/dhncbpCEE.jpeg,[],null,null
131304,2019-01-04T05:23:40.178-08:00,1516 AUGUSTA RD,WEST COLUMBIA,SC,29169,"1516 AUGUSTA RD, WEST COLUMBIA, SC 29169",99.71570377673383,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Quonset,None,""Metal Panel"",None,Undamaged,None,""No Swimming Pool"",None,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131304/_ru5M_ukU.jpeg,[],null,null
131315,2019-01-04T05:23:40.367-08:00,755 W 5TH AVE,OSHKOSH,WI,54902,"755 W 5TH AVE, OSHKOSH, WI 54902",99.71570377673383,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Gable,None,""Asphalt Shingle"",None,Undamaged,None,""No Swimming Pool"",None,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131315/hmW8nvR_j.jpeg,"[{'salesearchdate': '2015-11-13', 'saleTransDate': '2015-11-13', 'amount': {'saleamt': 0, 'salerecdate': '2015-11-16', 'saledisclosuretype': 0, 'saledocnum': '0001701682', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131311,2019-01-04T05:23:40.683-08:00,123 CANYON ROAD,MORGANTOWN,WV,26508,"123 CANYON ROAD, MORGANTOWN, WV 26508",99.71570377673383,"{debris,wear,staining,pool,rust,damage,ponding,material,overhang,shape,shape,patching}","{None,No,None,""No Swimming Pool"",None,Undamaged,None,""Asphalt Shingle"",None,Gable,Flat,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131311/bF8wljf5H.jpeg,"[{'salesearchdate': '2010-6-25', 'amount': {'saleamt': 0, 'salerecdate': '2010-6-25', 'saledisclosuretype': 0, 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131313,2019-01-04T05:23:40.933-08:00,231 W 7TH STREET,MICHIGAN CITY,IN,46360,"231 W 7TH STREET, MICHIGAN CITY, IN 46360",92.86118294536405,"{material,debris,patching,wear,staining,pool,rust,damage,ponding,overhang,shape}","{""Asphalt Shingle"",None,None,No,None,""No Swimming Pool"",None,Undamaged,None,Low,Gable}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131313/-BQg9X4pu.jpeg,"[{'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131312,2019-01-04T05:23:41.201-08:00,1925 UNION AVE,ALTOONA,PA,16601,"1925 UNION AVE, ALTOONA, PA 16601",55.00417085602035,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Flat,None,Ballasted,None,Undamaged,None,""No Swimming Pool"",Minor,Probable,Moderate,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131312/rpXPpVC8N.jpeg,[],null,null
131317,2019-01-04T05:23:41.621-08:00,121 MONTGOMERY AVE.,ORELAND,PA,19075,"121 MONTGOMERY AVE., ORELAND, PA 19075",62.97138683687675,"{shape,debris,patching,wear,staining,pool,rust,damage,ponding,material,overhang}","{Flat,None,Moderate,No,Minor,""No Swimming Pool"",None,Undamaged,Moderate,""Roof Coating"",None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131317/wZwc4vU3i.jpeg,[],null,null
131316,2019-01-04T05:23:41.667-08:00,325 SO S SUMMIT,ARKANSAS CITY,KS,67005,"325 SO S SUMMIT, ARKANSAS CITY, KS 67005",99.71570377673383,"{debris,shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching}","{None,Flat,None,""Roof Coating"",None,Undamaged,None,""No Swimming Pool"",None,No,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131316/oFJ9m2XgZ.jpeg,[],null,null
131321,2019-01-04T05:23:41.799-08:00,413 PIONEER ST,FAYETTEVILLE,TN,37334,"413 PIONEER ST, FAYETTEVILLE, TN 37334",99.71570377673383,"{debris,shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching}","{None,Gable,None,""Metal Panel"",None,Undamaged,None,""No Swimming Pool"",None,No,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131321/AVjU6xpO_.jpeg,[],null,null
131327,2019-01-04T05:23:41.969-08:00,910 WOODBOURNE ROAD,LANGHORNE,PA,19047,"910 WOODBOURNE ROAD, LANGHORNE, PA 19047",73.23195019750001,"{patching,debris,shape,overhang,material,material,ponding,damage,rust,pool,staining,wear}","{None,None,Gable,None,""Asphalt Shingle"",""Metal Panel"",None,Undamaged,None,""No Swimming Pool"",Minor,Probable}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131327/NoXvXdKl8.jpeg,"[{'salesearchdate': '2004-9-24', 'saleTransDate': '2004-9-24', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0043161804', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0020152011', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
